Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-01-03,34.987,35.191,34.673,35.006,1830600,0.0,0.0
2017-01-04,35.033,35.565,35.015,35.537,2219800,0.0,0.0
2017-01-05,35.445,35.634,35.255,35.519,1965800,0.0,0.0
2017-01-06,35.551,35.745,35.408,35.676,1001800,0.0,0.0
2017-01-09,35.616,35.699,35.057,35.112,1329800,0.0,0.0
2017-01-10,35.038,35.306,34.779,34.946,2671200,0.0,0.0
2017-01-11,34.978,35.472,34.816,35.449,1581600,0.0,0.0
2017-01-12,35.26,35.671,35.07,35.606,1572200,0.0,0.0
2017-01-13,35.671,35.694,34.913,35.2,2118600,0.0,0.0
2017-01-17,35.131,35.362,34.978,35.348,1410400,0.0,0.0
2017-01-18,35.482,35.69,35.283,35.574,1718800,0.0,0.0
2017-01-19,35.565,35.731,34.899,34.941,1283000,0.0,0.0
2017-01-20,35.08,35.08,34.396,34.65,2504200,0.0,0.0
2017-01-23,34.673,34.886,34.544,34.835,1904600,0.0,0.0
2017-01-24,34.992,35.399,34.992,35.334,1808000,0.0,0.0
2017-01-25,35.431,35.579,35.292,35.468,1656200,0.0,0.0
2017-01-26,35.408,35.422,34.701,35.288,3349200,0.0,0.0
2017-01-27,35.385,35.56,35.223,35.556,1439200,0.0,0.0
2017-01-30,35.426,35.426,34.77,35.343,1839600,0.0,0.0
2017-01-31,35.343,35.385,35.024,35.241,2357400,0.0,0.0
2017-02-01,35.371,35.63,34.867,35.366,3252800,0.0,0.0
2017-02-02,35.167,35.223,33.698,33.883,7492800,0.0,0.0
2017-02-03,34.539,34.571,33.874,34.123,4874400,0.0,0.0
2017-02-06,33.841,33.984,33.573,33.707,3635000,0.0,0.0
2017-02-07,33.846,33.846,33.333,33.559,3302000,0.0,0.0
2017-02-08,33.504,34.428,33.416,34.41,4216200,0.0,0.0
2017-02-09,34.294,34.363,34.155,34.234,1850800,0.0,0.0
2017-02-10,34.336,34.511,34.197,34.35,1761800,0.0,0.0
2017-02-13,34.474,34.59,34.1,34.128,2599400,0.0,0.0
2017-02-14,34.109,34.299,33.934,34.077,1530800,0.0,0.0
2017-02-15,34.058,34.179,33.767,33.79,2771000,0.0,0.0
2017-02-16,33.91,34.118,33.684,33.726,2793800,0.0,0.0
2017-02-17,33.712,33.938,33.564,33.86,5513000,0.0,0.0
2017-02-21,33.924,34.128,33.864,34.058,2812000,0.0,0.0
2017-02-22,33.934,34.123,33.813,33.938,2678400,0.0,0.0
2017-02-23,34.086,34.359,33.957,34.211,4226000,0.0,0.0
2017-02-24,34.077,34.132,33.569,33.767,3107800,0.0,0.0
2017-02-27,33.777,34.11,33.73,34.026,1475200,0.065,0.0
2017-02-28,34.022,34.253,33.999,34.04,1978000,0.0,0.0
2017-03-01,34.36,34.767,34.193,34.721,3744600,0.0,0.0
