Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-01-03,39.288,39.96,39.288,39.822,1145500,0.0,0.0
2017-01-04,39.871,40.518,39.871,40.34,1524900,0.0,0.0
2017-01-05,40.332,40.332,39.709,40.065,886900,0.0,0.0
2017-01-06,39.984,40.308,39.539,39.701,1013700,0.0,0.0
2017-01-09,39.684,39.701,38.915,38.932,1507100,0.0,0.0
2017-01-10,38.907,39.15,38.583,38.802,1461500,0.0,0.0
2017-01-11,38.648,39.085,38.648,39.069,916800,0.0,0.0
2017-01-12,38.883,39.369,38.632,39.158,895500,0.0,0.0
2017-01-13,39.312,39.539,39.134,39.28,754500,0.0,0.0
2017-01-17,39.223,39.377,38.616,38.81,743200,0.0,0.0
2017-01-18,38.802,39.012,38.592,38.664,754200,0.0,0.0
2017-01-19,38.721,38.996,38.422,38.543,594300,0.0,0.0
2017-01-20,38.648,38.915,38.373,38.753,869400,0.0,0.0
2017-01-23,38.794,39.069,38.632,39.004,1215200,0.0,0.0
2017-01-24,39.385,39.765,39.037,39.733,1250300,0.0,0.0
2017-01-25,39.693,40.405,39.693,40.275,1434700,0.0,0.0
2017-01-26,40.308,40.397,39.701,39.733,1070700,0.0,0.0
2017-01-27,39.757,39.879,39.433,39.668,858700,0.0,0.0
2017-01-30,39.45,39.45,38.171,38.332,1757000,0.0,0.0
2017-01-31,38.43,39.11,38.073,39.093,4925400,0.0,0.0
2017-02-01,39.199,39.442,38.697,38.964,1377100,0.0,0.0
2017-02-02,39.021,40.332,38.948,40.316,1886300,0.0,0.0
2017-02-03,40.292,40.51,40.081,40.348,1306500,0.0,0.0
2017-02-06,39.943,40.729,39.943,40.688,1325600,0.0,0.0
2017-02-07,40.761,40.883,40.008,40.097,1040000,0.0,0.0
2017-02-08,40.073,40.073,39.361,39.547,1493000,0.0,0.0
2017-02-09,39.466,39.879,39.409,39.773,738900,0.0,0.0
2017-02-10,39.749,40.526,39.668,40.3,913700,0.0,0.0
2017-02-13,40.478,41.182,40.3,40.753,849300,0.0,0.0
2017-02-14,40.737,40.842,40.486,40.68,772300,0.0,0.0
2017-02-15,40.672,41.158,40.518,41.142,1008500,0.0,0.0
2017-02-16,41.069,41.255,40.883,41.247,965800,0.0,0.0
