Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-01-03,47.637,48.104,47.435,47.627,13295600,0.0,0.0
2017-01-04,47.856,48.883,47.728,48.626,13759500,0.0,0.0
2017-01-05,48.489,48.654,48.049,48.617,8682200,0.0,0.0
2017-01-06,48.644,49.561,48.544,49.396,12532400,0.0,0.0
2017-01-09,49.442,49.469,48.764,48.91,8835300,0.0,0.0
2017-01-10,49.066,49.231,48.663,48.663,8041900,0.0,0.0
2017-01-11,48.672,48.828,48.26,48.278,8208300,0.0,0.0
2017-01-12,48.113,48.278,47.792,48.012,7368700,0.0,0.0
2017-01-13,48.186,48.498,47.856,48.489,6694400,0.0,0.0
2017-01-17,48.928,49.432,48.571,49.158,9888500,0.0,0.0
2017-01-18,49.35,49.377,48.434,48.809,6743100,0.0,0.0
2017-01-19,49.332,49.423,48.461,48.498,8320600,0.0,0.0
2017-01-20,48.764,48.883,48.47,48.745,7861000,0.0,0.0
2017-01-23,48.58,48.8,48.305,48.782,7025700,0.0,0.0
2017-01-24,48.58,49.084,48.553,48.974,6321300,0.0,0.0
2017-01-25,49.231,49.588,49.194,49.35,6675000,0.0,0.0
2017-01-26,49.579,49.588,48.892,49.158,6202000,0.0,0.0
2017-01-27,49.185,49.552,48.589,48.736,7362000,0.0,0.0
2017-01-30,48.36,48.764,48.021,48.635,9770800,0.0,0.0
2017-01-31,47.352,48.47,47.307,48.47,12342900,0.0,0.0
2017-02-01,48.544,48.8,48.205,48.58,8810900,0.0,0.0
2017-02-02,48.562,48.571,48.086,48.379,7874200,0.0,0.0
2017-02-03,48.214,48.388,47.875,47.976,8850400,0.0,0.0
2017-02-06,47.728,48.379,47.692,48.379,7355200,0.0,0.0
2017-02-07,48.626,48.819,48.26,48.388,6446900,0.0,0.0
2017-02-08,48.324,49.423,48.287,49.368,9281100,0.0,0.0
2017-02-09,49.368,51.036,49.368,50.679,14345400,0.0,0.0
2017-02-10,50.972,51.741,50.972,51.512,14973400,0.0,0.0
2017-02-13,51.467,51.622,51.082,51.393,7679800,0.0,0.0
2017-02-14,51.237,51.943,51.155,51.723,8891400,0.0,0.0
2017-02-15,51.576,52.007,51.503,51.897,6652000,0.0,0.0
2017-02-16,52.117,52.154,51.402,51.576,8374200,0.0,0.0
2017-02-17,51.421,52.044,51.182,51.998,12638000,0.0,0.0
2017-02-21,51.659,52.639,51.494,52.557,10955000,0.0,0.0
2017-02-22,52.667,53.491,52.557,53.363,10914100,0.0,0.0
2017-02-23,53.244,53.51,52.474,52.584,12316300,0.0,0.0
2017-02-24,52.584,53.528,52.291,53.015,9684500,0.0,0.0
2017-02-27,52.823,52.988,52.548,52.859,4375700,0.0,0.0
2017-02-28,52.566,52.731,52.099,52.374,7951300,0.0,0.0
2017-03-01,53.015,53.171,52.529,53.097,8558900,0.0,0.0
2017-03-02,53.217,53.539,52.987,53.125,6438400,0.18,0.0
2017-03-03,53.125,53.125,51.939,52.114,9181600,0.0,0.0
2017-03-06,52.114,52.325,51.958,52.178,6896800,0.0,0.0
2017-03-07,52.123,52.381,51.489,51.976,7124400,0.0,0.0
2017-03-08,52.335,52.335,51.756,51.939,7604800,0.0,0.0
2017-03-09,52.031,52.077,51.553,51.801,6165700,0.0,0.0
2017-03-10,51.921,52.381,51.71,51.866,8882400,0.0,0.0
2017-03-13,51.866,52.224,51.572,52.086,7235900,0.0,0.0
2017-03-14,52.27,53.318,52.132,52.647,9286900,0.0,0.0
2017-03-15,52.969,53.3,52.16,52.996,10067500,0.0,0.0
2017-03-16,52.785,53.052,52.233,52.941,9895000,0.0,0.0
2017-03-17,53.097,53.208,52.675,53.125,10791500,0.0,0.0
2017-03-20,53.309,54.053,53.272,53.934,13352500,0.0,0.0
2017-03-21,54.026,54.228,53.052,53.318,15269800,0.0,0.0
2017-03-22,50.331,50.552,49.412,49.559,37413400,0.0,0.0
2017-03-23,50.193,51.057,50.11,50.892,23848300,0.0,0.0
2017-03-24,50.818,52.059,50.662,51.801,14438600,0.0,0.0
2017-03-27,51.14,51.7,51.048,51.406,8663600,0.0,0.0
2017-03-28,51.461,52.188,51.278,52.04,7823900,0.0,0.0
2017-03-29,51.847,52.482,51.792,52.096,7456200,0.0,0.0
2017-03-30,51.912,52.022,51.296,51.507,7210500,0.0,0.0
2017-03-31,51.471,51.498,51.149,51.222,5905600,0.0,0.0
2017-04-03,51.232,51.287,50.689,51.066,7088800,0.0,0.0
2017-04-04,50.689,50.827,50.395,50.588,8843300,0.0,0.0
2017-04-05,50.524,51.287,50.092,50.533,7722100,0.0,0.0
2017-04-06,50.616,51.415,50.496,50.68,6692200,0.0,0.0
2017-04-07,50.643,50.772,50.34,50.653,6078300,0.0,0.0
2017-04-10,50.552,50.855,50.294,50.46,5472700,0.0,0.0
2017-04-11,50.506,50.616,50.138,50.478,4348600,0.0,0.0
2017-04-12,50.239,51.121,50.092,51.075,8504100,0.0,0.0
2017-04-13,50.928,51.103,50.79,50.864,5282100,0.0,0.0
2017-04-17,50.846,51.783,50.781,51.691,7688700,0.0,0.0
2017-04-18,51.489,51.857,51.287,51.572,5651100,0.0,0.0
2017-04-19,51.618,51.673,51.232,51.342,5947700,0.0,0.0
2017-04-20,51.434,52.105,51.36,51.838,6867100,0.0,0.0
2017-04-21,51.737,51.82,51.177,51.333,6055600,0.0,0.0
2017-04-24,51.599,51.664,50.983,50.983,10777700,0.0,0.0
2017-04-25,51.039,51.259,50.928,50.965,8971000,0.0,0.0
2017-04-26,50.974,51.324,50.662,50.699,10936000,0.0,0.0
2017-04-27,50.717,51.075,50.469,50.983,8558000,0.0,0.0
2017-04-28,50.947,51.039,50.68,50.928,6437700,0.0,0.0
2017-05-01,50.947,50.965,50.533,50.542,4881400,0.0,0.0
2017-05-02,50.662,50.699,50.359,50.616,7363600,0.0,0.0
2017-05-03,50.708,50.827,50.0,50.12,9474700,0.0,0.0
2017-05-04,50.257,50.395,49.816,50.064,6830600,0.0,0.0
2017-05-05,50.009,50.092,49.228,49.586,13379900,0.0,0.0
2017-05-08,49.798,50.101,49.476,49.908,8728100,0.0,0.0
2017-05-09,49.936,50.625,49.779,50.45,6441200,0.0,0.0
2017-05-10,50.469,50.607,50.101,50.147,5823000,0.0,0.0
2017-05-11,50.11,50.11,49.081,49.853,6499600,0.0,0.0
2017-05-12,49.724,49.991,49.439,49.816,5606300,0.0,0.0
2017-05-15,49.743,49.816,49.338,49.421,8201700,0.0,0.0
2017-05-16,48.134,49.063,47.904,48.511,14562700,0.0,0.0
2017-05-17,48.511,48.594,47.61,47.61,18341500,0.0,0.0
2017-05-18,47.767,47.868,47.151,47.5,22576500,0.0,0.0
2017-05-19,46.875,47.895,46.7,47.583,20047800,0.0,0.0
2017-05-22,47.583,47.757,47.243,47.399,13671500,0.0,0.0
2017-05-23,47.776,48.373,47.684,47.978,11087300,0.0,0.0
2017-05-24,48.024,48.07,47.555,47.803,9383600,0.0,0.0
2017-05-25,48.143,48.336,47.987,48.116,7627500,0.0,0.0
2017-05-26,48.116,48.493,48.006,48.336,5921300,0.0,0.0
2017-05-30,48.493,48.732,48.382,48.64,8039600,0.0,0.0
2017-05-31,48.732,48.971,48.447,48.704,8938800,0.0,0.0
2017-06-01,48.935,49.156,48.151,48.234,13352100,0.18,0.0
2017-06-02,48.603,48.889,48.289,48.861,18511200,0.0,0.0
2017-06-05,48.879,49.091,48.603,48.889,5748900,0.0,0.0
2017-06-06,48.787,48.972,48.354,48.4,8923000,0.0,0.0
2017-06-07,48.686,49.211,48.649,49.091,7438300,0.0,0.0
2017-06-08,49.091,49.931,49.018,49.064,7785600,0.0,0.0
2017-06-09,49.064,49.313,48.695,49.304,8347400,0.0,0.0
2017-06-12,49.35,50.032,49.34,49.829,9180000,0.0,0.0
2017-06-13,49.829,50.41,49.654,50.087,8720100,0.0,0.0
2017-06-14,50.244,50.419,49.755,50.41,6783900,0.0,0.0
2017-06-15,49.802,49.848,48.63,48.787,16041100,0.0,0.0
2017-06-16,47.726,47.809,46.841,47.127,25725500,0.0,0.0
2017-06-19,47.422,48.16,47.404,47.975,11265300,0.0,0.0
2017-06-20,48.003,48.077,47.127,47.551,10676500,0.0,0.0
2017-06-21,47.865,48.593,47.865,48.501,13021700,0.0,0.0
2017-06-22,48.51,48.529,48.04,48.326,10660700,0.0,0.0
2017-06-23,48.095,48.806,47.653,48.741,8522400,0.0,0.0
2017-06-26,48.833,49.405,48.575,49.138,7966200,0.0,0.0
2017-06-27,49.055,49.119,48.547,48.833,7873100,0.0,0.0
2017-06-28,49.036,49.442,48.842,49.211,7527200,0.0,0.0
2017-06-29,49.184,49.46,48.87,49.036,14801900,0.0,0.0
2017-06-30,52.199,55.068,52.107,54.413,46553000,0.0,0.0
2017-07-03,53.832,54.422,53.795,54.09,9910000,0.0,0.0
2017-07-05,53.712,53.758,53.039,53.085,16167000,0.0,0.0
2017-07-06,52.983,53.232,52.568,52.716,9035700,0.0,0.0
2017-07-07,52.937,53.564,52.596,53.472,8145400,0.0,0.0
2017-07-10,53.389,54.238,53.195,54.164,8942400,0.0,0.0
2017-07-11,53.989,54.348,53.527,53.657,7223000,0.0,0.0
2017-07-12,53.776,54.182,53.583,53.693,7243100,0.0,0.0
2017-07-13,53.693,54.025,53.426,53.435,8108600,0.0,0.0
2017-07-14,53.444,53.684,53.159,53.491,6345300,0.0,0.0
2017-07-17,53.491,53.813,53.269,53.297,6885000,0.0,0.0
2017-07-18,53.251,53.564,53.002,53.168,4922500,0.0,0.0
2017-07-19,53.122,53.38,52.928,53.278,4451100,0.0,0.0
2017-07-20,54.523,54.957,54.228,54.505,11915500,0.0,0.0
2017-07-21,54.413,55.335,54.33,55.289,11048300,0.0,0.0
2017-07-24,55.049,55.123,54.191,54.367,7498900,0.0,0.0
2017-07-25,54.708,54.892,54.339,54.772,5157100,0.0,0.0
2017-07-26,54.496,54.533,53.786,53.823,5529500,0.0,0.0
2017-07-27,54.044,54.118,53.481,53.629,8259900,0.0,0.0
2017-07-28,53.629,54.173,53.463,54.108,5112800,0.0,0.0
2017-07-31,54.145,54.523,53.795,54.459,6225900,0.0,0.0
2017-08-01,54.413,55.28,54.321,55.188,9051700,0.0,0.0
2017-08-02,54.92,55.289,54.662,55.141,4468100,0.0,0.0
2017-08-03,55.151,55.824,55.003,55.464,5677200,0.0,0.0
2017-08-04,55.492,55.649,54.994,55.114,4106000,0.0,0.0
2017-08-07,55.169,55.427,55.068,55.141,4066700,0.0,0.0
2017-08-08,55.224,55.446,54.745,54.837,5586400,0.0,0.0
2017-08-09,54.8,55.307,54.653,55.243,5310900,0.0,0.0
2017-08-10,55.04,55.049,54.468,54.477,5585100,0.0,0.0
2017-08-11,54.164,54.662,54.035,54.385,4980000,0.0,0.0
2017-08-14,54.551,55.335,54.533,55.132,5900000,0.0,0.0
2017-08-15,54.357,54.422,53.758,54.007,8913000,0.0,0.0
2017-08-16,54.321,54.459,53.693,53.989,5489600,0.0,0.0
2017-08-17,53.979,54.173,52.956,52.993,9148600,0.0,0.0
2017-08-18,50.585,51.111,49.958,50.678,22905200,0.0,0.0
2017-08-21,50.207,50.207,48.981,49.442,14289300,0.0,0.0
2017-08-22,49.728,50.18,49.608,49.921,8212800,0.0,0.0
2017-08-23,49.728,49.875,49.294,49.442,6409400,0.0,0.0
2017-08-24,49.737,49.774,49.304,49.654,5461900,0.0,0.0
2017-08-25,49.829,49.986,49.377,49.709,6416600,0.0,0.0
2017-08-28,49.866,50.198,49.451,49.553,5269400,0.0,0.0
2017-08-29,48.64,48.769,48.022,48.63,12539900,0.0,0.0
2017-08-30,48.695,48.842,48.188,48.474,7434500,0.0,0.0
2017-08-31,48.677,49.029,48.557,48.871,7728900,0.18,0.0
2017-09-01,49.047,49.464,48.955,49.38,5509800,0.0,0.0
2017-09-05,49.279,49.482,48.936,49.057,6306500,0.0,0.0
2017-09-06,49.158,49.362,48.779,48.825,7407600,0.0,0.0
2017-09-07,48.825,48.908,48.437,48.483,6905800,0.0,0.0
