Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-01-03,35.771,36.242,35.619,36.182,22891700,0.0,0.0
2017-01-04,36.162,36.335,36.017,36.142,18316100,0.0,0.0
2017-01-05,36.315,36.348,35.997,36.222,13840600,0.0,0.0
2017-01-06,35.959,36.033,35.577,35.685,15615000,0.578,0.0
2017-01-09,35.658,35.691,35.289,35.296,14097200,0.0,0.0
2017-01-10,35.303,35.618,34.854,35.35,11787400,0.0,0.0
2017-01-11,35.256,35.343,35.001,35.149,16142800,0.0,0.0
2017-01-12,35.129,35.437,35.021,35.296,11052100,0.0,0.0
2017-01-13,35.323,35.443,35.115,35.209,9458700,0.0,0.0
2017-01-17,35.209,35.437,35.175,35.336,11383500,0.0,0.0
2017-01-18,35.189,35.403,34.981,35.008,12930900,0.0,0.0
2017-01-19,35.209,35.269,34.961,35.082,13286100,0.0,0.0
2017-01-20,35.242,35.644,35.216,35.323,15473700,0.0,0.0
2017-01-23,35.149,35.309,34.961,35.115,15695500,0.0,0.0
2017-01-24,33.675,34.03,33.36,33.581,43484700,0.0,0.0
2017-01-25,33.165,33.46,32.723,33.346,30398600,0.0,0.0
2017-01-26,32.663,33.145,32.502,32.911,37877100,0.0,0.0
2017-01-27,33.065,33.32,33.011,33.232,18369300,0.0,0.0
2017-01-30,33.159,33.393,32.951,33.078,12148700,0.0,0.0
2017-01-31,32.971,33.145,32.784,32.837,16844200,0.0,0.0
2017-02-01,33.058,33.078,32.328,32.422,26004100,0.0,0.0
2017-02-02,32.522,32.556,32.093,32.348,17787200,0.0,0.0
2017-02-03,32.462,32.576,32.382,32.549,15166400,0.0,0.0
2017-02-06,32.609,32.609,32.12,32.181,16151400,0.0,0.0
2017-02-07,32.248,32.268,32.026,32.187,12771900,0.0,0.0
2017-02-08,32.261,32.542,32.227,32.408,13962800,0.0,0.0
2017-02-09,32.408,32.804,32.408,32.703,13577300,0.0,0.0
2017-02-10,32.79,32.911,32.623,32.817,12317400,0.0,0.0
2017-02-13,32.341,32.576,32.214,32.529,18305300,0.0,0.0
2017-02-14,32.368,32.475,32.154,32.341,20847200,0.0,0.0
2017-02-15,32.16,32.227,32.026,32.214,19297100,0.0,0.0
2017-02-16,32.181,32.509,32.087,32.469,18706900,0.0,0.0
2017-02-17,32.368,33.031,32.248,32.958,23190700,0.0,0.0
2017-02-21,33.172,33.293,32.985,33.119,19206000,0.0,0.0
2017-02-22,33.165,33.299,33.152,33.279,13653400,0.0,0.0
2017-02-23,33.487,33.835,33.279,33.708,16212000,0.0,0.0
2017-02-24,33.688,34.137,33.688,33.902,14357900,0.0,0.0
2017-02-27,33.829,33.869,33.366,33.46,14029500,0.0,0.0
2017-02-28,33.474,33.521,33.105,33.253,17699200,0.0,0.0
2017-03-01,33.206,33.487,33.078,33.373,16095600,0.0,0.0
2017-03-02,33.293,33.514,33.232,33.487,10773400,0.0,0.0
2017-03-03,33.487,33.594,33.366,33.561,11071600,0.0,0.0
2017-03-06,33.521,33.601,33.393,33.521,10827300,0.0,0.0
2017-03-07,33.5,33.541,33.072,33.125,12896900,0.0,0.0
2017-03-08,33.031,33.052,32.763,32.938,14206500,0.0,0.0
2017-03-09,32.985,33.132,32.884,33.018,10590000,0.0,0.0
2017-03-10,33.165,33.179,32.897,33.065,11181600,0.0,0.0
2017-03-13,33.052,33.186,32.918,33.145,10488800,0.0,0.0
2017-03-14,33.125,33.253,32.998,33.072,8496600,0.0,0.0
2017-03-15,33.005,33.668,33.005,33.594,12660800,0.0,0.0
2017-03-16,33.514,33.668,33.4,33.527,10861200,0.0,0.0
2017-03-17,33.628,33.789,33.514,33.762,21071300,0.0,0.0
2017-03-20,33.782,33.909,33.594,33.661,9456000,0.0,0.0
2017-03-21,33.822,33.923,33.581,33.608,15196500,0.0,0.0
2017-03-22,33.588,33.688,33.105,33.306,14950400,0.0,0.0
2017-03-23,33.333,33.42,33.112,33.259,9644900,0.0,0.0
2017-03-24,33.299,33.387,33.165,33.286,9310700,0.0,0.0
2017-03-27,33.286,33.34,32.777,32.924,13270900,0.0,0.0
2017-03-28,32.837,33.065,32.609,33.031,12856300,0.0,0.0
2017-03-29,33.018,33.078,32.851,32.918,11160800,0.0,0.0
2017-03-30,32.83,32.991,32.763,32.871,11623000,0.0,0.0
2017-03-31,32.897,32.897,32.663,32.663,19299100,0.0,0.0
2017-04-03,32.65,32.998,32.556,32.951,14307400,0.0,0.0
2017-04-04,32.897,33.045,32.75,33.038,8952800,0.0,0.0
2017-04-05,33.119,33.199,32.837,32.844,14327600,0.0,0.0
2017-04-06,32.897,32.951,32.659,32.836,18456100,0.578,0.0
2017-04-07,32.87,33.168,32.72,32.992,17269600,0.0,0.0
2017-04-10,33.032,33.141,32.849,32.91,10859400,0.0,0.0
2017-04-11,32.89,33.053,32.748,33.019,13096200,0.0,0.0
2017-04-12,32.904,33.181,32.775,33.168,10455800,0.0,0.0
2017-04-13,33.087,33.168,32.931,32.965,9487000,0.0,0.0
2017-04-17,33.005,33.29,33.005,33.093,10507100,0.0,0.0
2017-04-18,32.965,33.554,32.91,33.371,19691300,0.0,0.0
2017-04-19,33.52,33.595,33.148,33.181,18837300,0.0,0.0
2017-04-20,32.49,32.965,32.348,32.822,30398200,0.0,0.0
2017-04-21,32.49,32.659,31.954,32.036,31278300,0.0,0.0
2017-04-24,31.954,32.11,31.839,31.9,23161900,0.0,0.0
2017-04-25,31.839,32.049,31.581,31.663,30033500,0.0,0.0
2017-04-26,31.697,32.225,31.609,32.11,29343800,0.0,0.0
2017-04-27,32.11,32.131,31.636,31.642,16838500,0.0,0.0
2017-04-28,31.622,31.622,31.114,31.127,25922800,0.0,0.0
2017-05-01,31.229,31.29,31.107,31.107,14455200,0.0,0.0
2017-05-02,31.188,31.256,31.025,31.127,13397800,0.0,0.0
2017-05-03,31.202,31.358,31.073,31.29,19568100,0.0,0.0
2017-05-04,31.31,31.31,31.025,31.107,20767700,0.0,0.0
2017-05-05,31.242,31.683,31.188,31.656,17133000,0.0,0.0
2017-05-08,31.676,31.69,31.385,31.615,15561700,0.0,0.0
2017-05-09,31.541,31.588,31.297,31.473,14349000,0.0,0.0
2017-05-10,31.459,31.615,31.398,31.446,12669600,0.0,0.0
2017-05-11,31.398,31.439,31.175,31.202,12435800,0.0,0.0
2017-05-12,31.27,31.297,31.059,31.08,14470900,0.0,0.0
2017-05-15,31.127,31.147,30.68,30.768,20379700,0.0,0.0
2017-05-16,30.741,30.951,30.68,30.72,14813500,0.0,0.0
2017-05-17,30.72,30.72,30.144,30.158,21333500,0.0,0.0
2017-05-18,30.171,30.707,30.151,30.537,15648700,0.0,0.0
2017-05-19,30.619,30.808,30.347,30.795,12787800,0.0,0.0
2017-05-22,30.775,30.89,30.7,30.836,9290100,0.0,0.0
2017-05-23,30.836,30.903,30.781,30.836,8066300,0.0,0.0
2017-05-24,30.815,30.842,30.408,30.537,15846000,0.0,0.0
2017-05-25,30.544,30.768,30.517,30.72,11206400,0.0,0.0
2017-05-26,30.68,30.808,30.673,30.727,5999900,0.0,0.0
2017-05-30,30.686,31.412,30.686,31.324,16442300,0.0,0.0
2017-05-31,31.48,31.832,31.364,31.622,22811100,0.0,0.0
2017-06-01,31.67,31.67,31.256,31.534,14219400,0.0,0.0
2017-06-02,31.615,31.995,31.405,31.486,18552800,0.0,0.0
2017-06-05,31.303,31.473,31.202,31.439,8538200,0.0,0.0
2017-06-06,31.439,31.737,31.351,31.486,11610500,0.0,0.0
2017-06-07,31.541,31.663,31.432,31.527,8648100,0.0,0.0
2017-06-08,31.527,31.568,31.188,31.317,11717800,0.0,0.0
2017-06-09,31.303,31.717,31.195,31.676,11698800,0.0,0.0
2017-06-12,31.676,32.205,31.676,31.995,18929100,0.0,0.0
2017-06-13,32.07,32.076,31.459,31.5,15194600,0.0,0.0
2017-06-14,31.615,31.717,31.466,31.656,9817600,0.0,0.0
2017-06-15,31.581,31.751,31.527,31.622,10984100,0.0,0.0
2017-06-16,31.771,31.866,31.412,31.615,22573900,0.0,0.0
2017-06-19,31.615,31.615,31.385,31.575,9773500,0.0,0.0
2017-06-20,31.459,31.466,31.012,31.147,16756100,0.0,0.0
2017-06-21,31.154,31.202,30.571,30.788,15027200,0.0,0.0
2017-06-22,30.829,30.91,30.632,30.795,10511300,0.0,0.0
2017-06-23,30.802,30.822,30.714,30.775,10069700,0.0,0.0
2017-06-26,30.815,31.175,30.815,31.019,10105500,0.0,0.0
2017-06-27,30.49,30.612,30.381,30.402,20187200,0.0,0.0
2017-06-28,30.497,30.666,30.293,30.402,18703600,0.0,0.0
2017-06-29,30.375,30.442,30.097,30.11,17913000,0.0,0.0
2017-06-30,30.253,30.341,30.076,30.28,13368900,0.0,0.0
2017-07-03,30.246,30.564,30.178,30.51,9732000,0.0,0.0
2017-07-05,30.544,30.551,30.13,30.273,14853400,0.0,0.0
2017-07-06,30.203,30.285,29.894,29.894,16854300,0.578,0.0
2017-07-07,29.901,29.949,29.681,29.866,12198500,0.0,0.0
2017-07-10,29.866,29.887,29.66,29.674,12272500,0.0,0.0
2017-07-11,29.681,29.688,29.399,29.461,13249500,0.0,0.0
2017-07-12,29.564,29.798,29.536,29.688,11388900,0.0,0.0
2017-07-13,29.64,29.907,29.564,29.873,12140500,0.0,0.0
2017-07-14,29.969,30.1,29.818,29.921,11986800,0.0,0.0
2017-07-17,29.969,30.127,29.921,29.99,10804200,0.0,0.0
2017-07-18,29.99,30.079,29.715,29.784,15417100,0.0,0.0
2017-07-19,29.777,29.907,29.674,29.846,13940800,0.0,0.0
2017-07-20,29.88,30.622,29.866,30.375,19309100,0.0,0.0
2017-07-21,30.381,30.436,30.1,30.381,11426600,0.0,0.0
2017-07-24,30.326,30.368,30.004,30.024,11895200,0.0,0.0
2017-07-25,30.155,30.34,30.093,30.21,9818800,0.0,0.0
2017-07-26,30.773,30.794,30.416,30.498,19045200,0.0,0.0
2017-07-27,31.776,32.861,31.563,32.84,44702500,0.0,0.0
2017-07-28,32.765,33.232,32.367,32.93,25296500,0.0,0.0
2017-07-31,32.868,33.363,32.614,33.246,28456800,0.0,0.0
2017-08-01,33.438,34.091,33.335,33.582,33498200,0.0,0.0
2017-08-02,33.589,33.61,32.902,33.115,19233400,0.0,0.0
2017-08-03,33.033,33.39,32.93,33.39,15190100,0.0,0.0
2017-08-04,33.349,33.596,33.067,33.596,13841700,0.0,0.0
2017-08-07,33.514,33.63,33.438,33.562,10448700,0.0,0.0
2017-08-08,33.486,33.624,33.266,33.383,10901200,0.0,0.0
2017-08-09,33.328,33.411,33.026,33.122,18887100,0.0,0.0
2017-08-10,33.095,33.115,32.875,32.985,13005200,0.0,0.0
2017-08-11,33.108,33.129,32.765,33.012,10420500,0.0,0.0
2017-08-14,33.088,33.52,33.074,33.507,11064600,0.0,0.0
2017-08-15,33.356,33.376,33.101,33.301,11164800,0.0,0.0
2017-08-16,33.225,33.335,33.122,33.253,9447000,0.0,0.0
2017-08-17,33.225,33.28,32.895,32.895,10638000,0.0,0.0
2017-08-18,32.868,32.937,32.634,32.758,16919100,0.0,0.0
2017-08-21,32.854,33.314,32.758,33.067,10556800,0.0,0.0
2017-08-22,33.06,33.273,32.82,33.211,11005500,0.0,0.0
2017-08-23,33.15,33.431,33.101,33.163,8909200,0.0,0.0
2017-08-24,33.211,33.356,33.095,33.184,8898200,0.0,0.0
2017-08-25,33.301,33.644,33.266,33.438,9846700,0.0,0.0
2017-08-28,33.417,33.486,33.184,33.39,6329400,0.0,0.0
2017-08-29,33.218,33.493,33.198,33.321,6044100,0.0,0.0
2017-08-30,33.198,33.225,32.971,33.053,10758400,0.0,0.0
2017-08-31,33.15,33.246,32.923,32.95,14237700,0.0,0.0
2017-09-01,32.985,33.019,32.813,32.916,11455200,0.0,0.0
2017-09-05,32.82,32.916,32.49,32.531,10005100,0.0,0.0
2017-09-06,32.607,32.669,32.023,32.222,14081900,0.0,0.0
2017-09-07,32.284,32.428,31.645,31.735,16591100,0.0,0.0
2017-09-08,31.721,31.865,31.398,31.673,14152000,0.0,0.0
2017-09-11,31.755,31.831,31.68,31.803,11073700,0.0,0.0
2017-09-12,31.941,32.25,31.858,32.14,11173200,0.0,0.0
2017-09-13,32.133,32.463,32.064,32.456,12772700,0.0,0.0
2017-09-14,32.449,32.689,32.291,32.408,11808500,0.0,0.0
2017-09-15,32.573,32.902,32.325,32.875,24626500,0.0,0.0
2017-09-18,32.909,33.143,32.634,33.033,18810200,0.0,0.0
2017-09-19,33.033,34.036,32.978,33.891,30818000,0.0,0.0
2017-09-20,33.864,34.097,33.713,33.988,18755900,0.0,0.0
2017-09-21,33.912,33.96,33.548,33.617,14315800,0.0,0.0
2017-09-22,33.788,34.4,33.672,34.276,20646400,0.0,0.0
2017-09-25,34.255,34.565,34.173,34.276,13698600,0.0,0.0
2017-09-26,34.317,34.4,33.933,34.008,12007500,0.0,0.0
2017-09-27,33.788,34.159,33.74,34.008,14270800,0.0,0.0
2017-09-28,33.823,34.049,33.754,33.939,8231800,0.0,0.0
2017-09-29,33.864,34.228,33.665,33.994,13021700,0.0,0.0
2017-10-02,33.926,34.139,33.83,33.905,9525800,0.0,0.0
2017-10-03,33.967,34.359,33.953,34.242,10218600,0.0,0.0
2017-10-04,34.097,34.4,33.919,34.276,9887500,0.0,0.0
2017-10-05,34.317,34.365,34.125,34.187,12230600,0.0,0.0
2017-10-06,34.089,34.201,33.825,33.93,13239600,0.59,0.0
2017-10-09,33.985,34.124,33.818,34.096,10702900,0.0,0.0
2017-10-10,34.256,34.402,34.103,34.159,10843900,0.0,0.0
2017-10-11,34.159,34.284,33.721,33.964,10335100,0.0,0.0
2017-10-12,33.672,33.957,33.457,33.61,17087900,0.0,0.0
2017-10-13,33.603,33.7,33.248,33.269,20105100,0.0,0.0
2017-10-16,33.297,33.61,33.158,33.429,10394700,0.0,0.0
2017-10-17,33.429,33.707,33.276,33.645,14842800,0.0,0.0
2017-10-18,33.596,33.957,33.2,33.818,20410400,0.0,0.0
2017-10-19,34.792,35.577,34.096,34.208,29173900,0.0,0.0
2017-10-20,34.374,34.472,34.013,34.43,16259600,0.0,0.0
2017-10-23,34.388,34.541,33.999,34.055,15660000,0.0,0.0
2017-10-24,34.173,34.256,33.867,34.02,11527900,0.0,0.0
2017-10-25,33.839,33.916,33.471,33.811,19256800,0.0,0.0
2017-10-26,33.964,34.361,33.888,33.985,14420100,0.0,0.0
2017-10-27,33.867,34.333,33.735,33.971,12423400,0.0,0.0
2017-10-30,33.978,34.145,32.963,33.248,24587400,0.0,0.0
2017-10-31,33.325,33.492,33.165,33.276,15910000,0.0,0.0
2017-11-01,33.471,33.485,33.061,33.248,11046600,0.0,0.0
2017-11-02,33.283,33.325,32.797,32.991,13126900,0.0,0.0
2017-11-03,33.13,33.186,32.838,32.963,8038200,0.0,0.0
2017-11-06,32.192,32.22,31.17,31.65,36443300,0.0,0.0
2017-11-07,31.427,31.691,31.059,31.677,25789600,0.0,0.0
2017-11-08,31.566,31.643,31.378,31.601,17414800,0.0,0.0
2017-11-09,31.483,31.58,31.149,31.33,21078700,0.0,0.0
2017-11-10,31.358,31.358,31.107,31.198,17075000,0.0,0.0
2017-11-13,31.225,31.337,31.073,31.107,16673900,0.0,0.0
2017-11-14,31.066,31.177,30.69,30.739,20829900,0.0,0.0
2017-11-15,30.815,30.85,30.565,30.662,15726500,0.0,0.0
2017-11-16,30.732,31.198,30.662,31.121,13818000,0.0,0.0
2017-11-17,31.024,31.816,31.017,31.573,18933200,0.0,0.0
2017-11-20,31.837,32.22,31.629,32.115,18227400,0.0,0.0
2017-11-21,32.213,32.289,31.983,32.101,13598000,0.0,0.0
2017-11-22,32.15,32.963,32.143,32.741,15825100,0.0,0.0
2017-11-24,32.713,32.797,32.567,32.678,5097200,0.0,0.0
2017-11-27,32.929,33.297,32.915,33.13,17548300,0.0,0.0
2017-11-28,33.158,33.95,33.04,33.937,20982500,0.0,0.0
2017-11-29,33.95,35.097,33.95,34.687,31034500,0.0,0.0
2017-11-30,34.757,35.514,34.75,35.375,33268500,0.0,0.0
2017-12-01,35.382,35.834,34.986,35.626,23909000,0.0,0.0
2017-12-04,35.813,36.376,35.799,35.952,19371000,0.0,0.0
2017-12-05,35.626,36.071,35.299,35.396,17574100,0.0,0.0
2017-12-06,35.035,35.341,34.924,35.229,17296600,0.0,0.0
2017-12-07,35.167,35.271,34.896,35.049,11986700,0.0,0.0
2017-12-08,35.132,35.577,35.007,35.514,13639900,0.0,0.0
2017-12-11,35.654,36.098,35.431,36.036,13542500,0.0,0.0
2017-12-12,36.946,37.079,36.376,36.974,22901200,0.0,0.0
